-160 = 224
Frame Count: 1, Latitude: 38.012993, Longitude: 23.753021, Altitude: 384.431
Frame Count: 2, Latitude: 38.012993, Longitude: 23.753021, Altitude: 384.431
Frame Count: 3, Latitude: 38.012993, Longitude: 23.753021, Altitude: 384.431
Frame Count: 4, Latitude: 38.012993, Longitude: 23.753021, Altitude: 384.431
Frame Count: 5, Latitude: 38.012993, Longitude: 23.753021, Altitude: 384.431
Frame Count: 6, Latitude: 38.012993, Longitude: 23.753022, Altitude: 384.431
Frame Count: 7, Latitude: 38.012993, Longitude: 23.753022, Altitude: 384.431
Frame Count: 8, Latitude: 38.012993, Longitude: 23.753022, Altitude: 384.431
Frame Count: 9, Latitude: 38.012994, Longitude: 23.753022, Altitude: 384.411987
Frame Count: 10, Latitude: 38.012994, Longitude: 23.753022, Altitude: 384.411987
Frame Count: 11, Latitude: 38.012994, Longitude: 23.753022, Altitude: 384.411987
Frame Count: 12, Latitude: 38.012994, Longitude: 23.753022, Altitude: 384.411987
Frame Count: 13, Latitude: 38.012994, Longitude: 23.753022, Altitude: 384.411987
Frame Count: 14, Latitude: 38.012995, Longitude: 23.753023, Altitude: 384.404999
Frame Count: 15, Latitude: 38.012995, Longitude: 23.753023, Altitude: 384.404999
Frame Count: 16, Latitude: 38.012995, Longitude: 23.753023, Altitude: 384.404999
Frame Count: 17, Latitude: 38.012997, Longitude: 23.753023, Altitude: 384.404999
Frame Count: 18, Latitude: 38.012997, Longitude: 23.753023, Altitude: 384.404999
Frame Count: 19, Latitude: 38.012998, Longitude: 23.753024, Altitude: 384.412994
Frame Count: 20, Latitude: 38.012998, Longitude: 23.753024, Altitude: 384.412994
Frame Count: 21, Latitude: 38.012998, Longitude: 23.753024, Altitude: 384.412994
Frame Count: 22, Latitude: 38.013, Longitude: 23.753025, Altitude: 384.412994
Frame Count: 23, Latitude: 38.013, Longitude: 23.753025, Altitude: 384.412994
Frame Count: 24, Latitude: 38.013002, Longitude: 23.753026, Altitude: 384.416992
Frame Count: 25, Latitude: 38.013002, Longitude: 23.753026, Altitude: 384.416992
Frame Count: 26, Latitude: 38.013002, Longitude: 23.753026, Altitude: 384.416992
Frame Count: 27, Latitude: 38.013004, Longitude: 23.753027, Altitude: 384.416992
Frame Count: 28, Latitude: 38.013004, Longitude: 23.753027, Altitude: 384.416992
Frame Count: 29, Latitude: 38.013007, Longitude: 23.753028, Altitude: 384.419006
Frame Count: 30, Latitude: 38.013007, Longitude: 23.753028, Altitude: 384.419006
Frame Count: 31, Latitude: 38.013007, Longitude: 23.753028, Altitude: 384.419006
Frame Count: 32, Latitude: 38.01301, Longitude: 23.75303, Altitude: 384.419006
Frame Count: 33, Latitude: 38.01301, Longitude: 23.75303, Altitude: 384.419006
Frame Count: 34, Latitude: 38.013013, Longitude: 23.753031, Altitude: 384.419006
Frame Count: 35, Latitude: 38.013013, Longitude: 23.753031, Altitude: 384.419006
Frame Count: 36, Latitude: 38.013016, Longitude: 23.753033, Altitude: 384.419006
Frame Count: 37, Latitude: 38.013016, Longitude: 23.753033, Altitude: 384.419006
Frame Count: 38, Latitude: 38.013016, Longitude: 23.753033, Altitude: 384.419006
Frame Count: 39, Latitude: 38.013019, Longitude: 23.753034, Altitude: 384.420013
Frame Count: 40, Latitude: 38.013019, Longitude: 23.753034, Altitude: 384.420013
Frame Count: 41, Latitude: 38.013019, Longitude: 23.753034, Altitude: 384.420013
Frame Count: 42, Latitude: 38.013023, Longitude: 23.753036, Altitude: 384.420013
Frame Count: 43, Latitude: 38.013023, Longitude: 23.753036, Altitude: 384.420013
Frame Count: 44, Latitude: 38.013027, Longitude: 23.753038, Altitude: 384.417999
Frame Count: 45, Latitude: 38.013027, Longitude: 23.753038, Altitude: 384.417999
Frame Count: 46, Latitude: 38.013031, Longitude: 23.75304, Altitude: 384.417999
Frame Count: 47, Latitude: 38.013031, Longitude: 23.75304, Altitude: 384.417999
Frame Count: 48, Latitude: 38.013031, Longitude: 23.75304, Altitude: 384.417999
Frame Count: 49, Latitude: 38.013035, Longitude: 23.753042, Altitude: 384.415985
Frame Count: 50, Latitude: 38.013035, Longitude: 23.753042, Altitude: 384.415985
Frame Count: 51, Latitude: 38.013035, Longitude: 23.753042, Altitude: 384.415985
Frame Count: 52, Latitude: 38.01304, Longitude: 23.753045, Altitude: 384.415985
Frame Count: 53, Latitude: 38.01304, Longitude: 23.753045, Altitude: 384.415985
Frame Count: 54, Latitude: 38.013045, Longitude: 23.753047, Altitude: 384.416992
Frame Count: 55, Latitude: 38.013045, Longitude: 23.753047, Altitude: 384.416992
Frame Count: 56, Latitude: 38.01305, Longitude: 23.753049, Altitude: 384.416992
Frame Count: 57, Latitude: 38.01305, Longitude: 23.753049, Altitude: 384.416992
Frame Count: 58, Latitude: 38.01305, Longitude: 23.753049, Altitude: 384.416992
Frame Count: 59, Latitude: 38.013055, Longitude: 23.753052, Altitude: 384.414001
Frame Count: 60, Latitude: 38.013055, Longitude: 23.753052, Altitude: 384.414001
Frame Count: 61, Latitude: 38.01306, Longitude: 23.753055, Altitude: 384.414001
Frame Count: 62, Latitude: 38.01306, Longitude: 23.753055, Altitude: 384.414001
Frame Count: 63, Latitude: 38.01306, Longitude: 23.753055, Altitude: 384.414001
Frame Count: 64, Latitude: 38.013066, Longitude: 23.753057, Altitude: 384.424011
Frame Count: 65, Latitude: 38.013066, Longitude: 23.753057, Altitude: 384.424011
Frame Count: 66, Latitude: 38.013066, Longitude: 23.753057, Altitude: 384.424011
Frame Count: 67, Latitude: 38.013071, Longitude: 23.75306, Altitude: 384.424011
Frame Count: 68, Latitude: 38.013071, Longitude: 23.75306, Altitude: 384.424011
Frame Count: 69, Latitude: 38.013077, Longitude: 23.753063, Altitude: 384.433014
Frame Count: 70, Latitude: 38.013077, Longitude: 23.753063, Altitude: 384.433014
Frame Count: 71, Latitude: 38.013077, Longitude: 23.753063, Altitude: 384.433014
Frame Count: 72, Latitude: 38.013083, Longitude: 23.753066, Altitude: 384.433014
Frame Count: 73, Latitude: 38.013083, Longitude: 23.753066, Altitude: 384.433014
Frame Count: 74, Latitude: 38.013089, Longitude: 23.753069, Altitude: 384.442993
Frame Count: 75, Latitude: 38.013089, Longitude: 23.753069, Altitude: 384.442993
Frame Count: 76, Latitude: 38.013095, Longitude: 23.753072, Altitude: 384.442993
Frame Count: 77, Latitude: 38.013095, Longitude: 23.753072, Altitude: 384.442993
Frame Count: 78, Latitude: 38.013095, Longitude: 23.753072, Altitude: 384.442993
Frame Count: 79, Latitude: 38.013102, Longitude: 23.753075, Altitude: 384.466003
Frame Count: 80, Latitude: 38.013102, Longitude: 23.753075, Altitude: 384.466003
Frame Count: 81, Latitude: 38.013102, Longitude: 23.753075, Altitude: 384.466003
Frame Count: 82, Latitude: 38.013109, Longitude: 23.753079, Altitude: 384.466003
Frame Count: 83, Latitude: 38.013109, Longitude: 23.753079, Altitude: 384.466003
Frame Count: 84, Latitude: 38.013116, Longitude: 23.753082, Altitude: 384.487
Frame Count: 85, Latitude: 38.013116, Longitude: 23.753082, Altitude: 384.487
Frame Count: 86, Latitude: 38.013116, Longitude: 23.753082, Altitude: 384.487
Frame Count: 87, Latitude: 38.013123, Longitude: 23.753085, Altitude: 384.487
Frame Count: 88, Latitude: 38.013123, Longitude: 23.753085, Altitude: 384.487
Frame Count: 89, Latitude: 38.01313, Longitude: 23.753089, Altitude: 384.516998
Frame Count: 90, Latitude: 38.01313, Longitude: 23.753089, Altitude: 384.516998
Frame Count: 91, Latitude: 38.013137, Longitude: 23.753093, Altitude: 384.516998
Frame Count: 92, Latitude: 38.013137, Longitude: 23.753093, Altitude: 384.516998
Frame Count: 93, Latitude: 38.013137, Longitude: 23.753093, Altitude: 384.516998
Frame Count: 94, Latitude: 38.013144, Longitude: 23.753096, Altitude: 384.57901
Frame Count: 95, Latitude: 38.013144, Longitude: 23.753096, Altitude: 384.57901
Frame Count: 96, Latitude: 38.013144, Longitude: 23.753096, Altitude: 384.57901
Frame Count: 97, Latitude: 38.013151, Longitude: 23.7531, Altitude: 384.57901
Frame Count: 98, Latitude: 38.013151, Longitude: 23.7531, Altitude: 384.57901
Frame Count: 99, Latitude: 38.013158, Longitude: 23.753103, Altitude: 384.630005
Frame Count: 100, Latitude: 38.013158, Longitude: 23.753103, Altitude: 384.630005
Frame Count: 101, Latitude: 38.013165, Longitude: 23.753107, Altitude: 384.630005
Frame Count: 102, Latitude: 38.013165, Longitude: 23.753107, Altitude: 384.630005
Frame Count: 103, Latitude: 38.013165, Longitude: 23.753107, Altitude: 384.630005
Frame Count: 104, Latitude: 38.013172, Longitude: 23.75311, Altitude: 384.661011
Frame Count: 105, Latitude: 38.013172, Longitude: 23.75311, Altitude: 384.661011
Frame Count: 106, Latitude: 38.013172, Longitude: 23.75311, Altitude: 384.661011
Frame Count: 107, Latitude: 38.013179, Longitude: 23.753113, Altitude: 384.661011
Frame Count: 108, Latitude: 38.013179, Longitude: 23.753113, Altitude: 384.661011
Frame Count: 109, Latitude: 38.013186, Longitude: 23.753117, Altitude: 384.708008
Frame Count: 110, Latitude: 38.013186, Longitude: 23.753117, Altitude: 384.708008
Frame Count: 111, Latitude: 38.013186, Longitude: 23.753117, Altitude: 384.708008
Frame Count: 112, Latitude: 38.013193, Longitude: 23.75312, Altitude: 384.708008
Frame Count: 113, Latitude: 38.013193, Longitude: 23.75312, Altitude: 384.708008
Frame Count: 114, Latitude: 38.0132, Longitude: 23.753124, Altitude: 384.729004
Frame Count: 115, Latitude: 38.0132, Longitude: 23.753124, Altitude: 384.729004
Frame Count: 116, Latitude: 38.0132, Longitude: 23.753124, Altitude: 384.729004
Frame Count: 117, Latitude: 38.013207, Longitude: 23.753127, Altitude: 384.729004
Frame Count: 118, Latitude: 38.013207, Longitude: 23.753127, Altitude: 384.729004
Frame Count: 119, Latitude: 38.013214, Longitude: 23.753131, Altitude: 384.757996
Frame Count: 120, Latitude: 38.013214, Longitude: 23.753131, Altitude: 384.757996
Frame Count: 121, Latitude: 38.01322, Longitude: 23.753134, Altitude: 384.757996
Frame Count: 122, Latitude: 38.01322, Longitude: 23.753134, Altitude: 384.757996
Frame Count: 123, Latitude: 38.01322, Longitude: 23.753134, Altitude: 384.757996
